ISP,Defacement Count,Phishing Count,Malware Count,Botnet Count,Total Count
AS number for New World Telephone Ltd.,153,497,754,404,1808
PCCW Limited,1,1,2,1465,1469
Hong Kong Broadband Network Ltd.,1,170,246,657,1074
Sun Network (Hong Kong) Limited,13,364,202,177,756
Pang International Limited-AS number,32,397,122,35,586
Hutchison Global Communications,1,55,2,518,576
Wharf T&T Ltd.,1,60,15,433,509
PCCW IMSBiz,5,38,1,287,331
UDomain Web Hosting Company Ltd,0,1,293,3,297
HongKong Virtual Internal Server Company Limited,1,274,5,9,289
"Forewin Telecom Group Limited, ISP at",15,123,5,14,157
VpsQuan L.L.C.,0,111,3,16,130
Cloudie Limited,3,84,16,21,124
SunnyVision Limited,7,13,58,23,101
HK Cable TV Ltd,0,0,0,94,94
"Shanghai Chenyi Network Technology Co.,Ltd",6,1,54,30,91
Diyixian.com Limited,1,0,17,66,84
-,0,4,2,74,80
NETWORK AND SECURITY SOLUTIONS LIMITED,4,8,28,40,80
HOSTSPACE NETWORKS LLC,0,2,0,76,78
SmarTone Telecommunications Ltd.,0,0,0,70,70
Hong Kong San Ai Net Int'l Limited,35,0,20,14,69
Henderson Data Centre Limited,0,17,23,23,63
China Telecom Next Generation Carrier Network,0,0,53,9,62
SmarTone Mobile Communications Ltd,0,0,0,61,61
Internet Assigned Numbers Authority,3,0,42,4,49
Pacnet Internet (Hong Kong) Limited,0,1,1,46,48
HOT NET LIMITED,0,0,0,47,47
CommuniLink Internet Limited.,14,0,16,15,45
CITIC Telecom International CPC Limited,0,18,0,23,41
iAdvantage Limited,5,25,3,8,41
Hutchison Global Crossing,0,0,0,39,39
HKCSL GPRS NETWORK,0,0,0,39,39
Hutchison Telephone Company Limited,0,0,0,37,37
Rainbow network limited,9,8,14,1,32
Gigabit Hosting Sdn Bhd,2,0,1,27,30
"Room 704, ChinaChen Leighton Plaza",1,23,0,6,30
HKNet Co. Ltd,1,4,1,23,29
SoftLayer Technologies Inc.,5,5,0,17,27
"Beyond The Network America, Inc.",0,8,6,12,26
Korea Telecom,0,23,0,0,23
"FNETLINK CO .,LIMITED",0,0,0,23,23
"92Cloud Technology Co., Limited",0,0,17,6,23
HongKong Commercial Internet Exchange,2,0,0,19,21
Pacificnet Hosting Ltd,4,2,2,13,21
HK Broadband Network Ltd.,0,0,0,21,21
AS Data(Hong Kong)Limited,2,0,0,17,19
Asia Data Center Limited,2,13,0,4,19
Rackspace IT Hosting AS IT Hosting Provider Hong Kong,3,0,0,15,18
Tele Asia Limited,0,14,3,1,18
"Host Virtual, Inc",13,0,0,4,17
Hong Kong Telecommunications (HKT) Limited,0,0,0,16,16
China Mobile Hong Kong Company Limited,0,0,0,15,15
APNIC ASN block,0,0,0,15,15
hongkong kwaifong information service limited,0,0,8,6,14
REDTONE TELECOMMUNICATIONS(HK) LIMITED,8,0,0,6,14
NTT Com Asia Limited,1,0,2,11,14
NewMedia Express Pte Ltd. Singapore Web Hosting Service Provider,0,0,0,13,13
i4HK Limited,5,0,0,7,12
Huayun Data Holdings Limited,0,0,2,10,12
SingTel Hong Kong Limited,0,0,0,12,12
"Menara Jamsostek, North Tower 24th Floor",0,0,0,12,12
CLOUDHOST LIMITED,1,0,8,1,10
2012 Limited / Netfront,0,0,0,10,10
Enzu Inc,9,0,0,0,9
Cyberport Hong Kong,0,0,0,9,9
"Suite 2101~02, 21/F, Tower 2, Nina Tower",0,0,0,8,8
Cyber Express Communication Ltd.,0,0,0,8,8
Powerbase DataCenter Services (HK) Ltd.,0,0,4,4,8
i-System Technology Limited,1,3,1,2,7
ISP,0,0,0,7,7
ZS NETWORK (HONGKONG) LIMITED,0,0,0,7,7
Areti Internet Ltd.,0,0,0,7,7
"Flat C, 16/F, Skyline Tower",0,0,0,6,6
Dimension Network & Communication Limited,0,0,1,5,6
"NeuStar, Inc.",3,0,0,2,5
"MCI Communications Services, Inc. d/b/a Verizon Business",0,0,0,5,5
PACSWITCH (ASIA) NETWORK,0,0,0,5,5
I-Services Network Solution Limited,0,0,0,5,5
"Room 603, Kin Wing Ind Bldg",0,2,0,2,4
Speedy Group Corporation Limited,0,0,0,4,4
The Chinese University of Hong Kong,0,0,0,4,4
The University of Hong Kong,0,0,0,4,4
SPEEDCAST Limited,0,0,0,4,4
ERANET INTERNATIONAL LIMITED,0,0,0,4,4
PCCW Global (HK) Ltd.,0,0,0,4,4
GLOBALNET COMMUNICATION LTD.,0,0,0,4,4
Exanet Limited,0,0,0,3,3
