ISP,Defacement Count,Phishing Count,Malware Count,Total Count
AS number for New World Telephone Ltd.,153,497,754,1404
Sun Network (Hong Kong) Limited,13,364,202,579
Pang International Limited-AS number,32,397,122,551
Hong Kong Broadband Network Ltd.,1,170,246,417
UDomain Web Hosting Company Ltd,0,1,293,294
HongKong Virtual Internal Server Company Limited,1,274,5,280
"Forewin Telecom Group Limited, ISP at",15,123,5,143
VpsQuan L.L.C.,0,111,3,114
Cloudie Limited,3,84,16,103
SunnyVision Limited,7,13,58,78
Wharf T&T Ltd.,1,60,15,76
"Shanghai Chenyi Network Technology Co.,Ltd",6,1,54,61
Hutchison Global Communications,1,55,2,58
Hong Kong San Ai Net Int'l Limited,35,0,20,55
China Telecom Next Generation Carrier Network,0,0,53,53
Internet Assigned Numbers Authority,3,0,42,45
PCCW IMSBiz,5,38,1,44
Henderson Data Centre Limited,0,17,23,40
NETWORK AND SECURITY SOLUTIONS LIMITED,4,8,28,40
iAdvantage Limited,5,25,3,33
Rainbow network limited,9,8,14,31
CommuniLink Internet Limited.,14,0,16,30
"Room 704, ChinaChen Leighton Plaza",1,23,0,24
Korea Telecom,0,23,0,23
Diyixian.com Limited,1,0,17,18
CITIC Telecom International CPC Limited,0,18,0,18
Tele Asia Limited,0,14,3,17
"92Cloud Technology Co., Limited",0,0,17,17
Asia Data Center Limited,2,13,0,15
"Beyond The Network America, Inc.",0,8,6,14
"Host Virtual, Inc",13,0,0,13
SoftLayer Technologies Inc.,5,5,0,10
Enzu Inc,9,0,0,9
CLOUDHOST LIMITED,1,0,8,9
Pacificnet Hosting Ltd,4,2,2,8
hongkong kwaifong information service limited,0,0,8,8
REDTONE TELECOMMUNICATIONS(HK) LIMITED,8,0,0,8
-,0,4,2,6
HKNet Co. Ltd,1,4,1,6
i4HK Limited,5,0,0,5
i-System Technology Limited,1,3,1,5
PCCW Limited,1,1,2,4
Powerbase DataCenter Services (HK) Ltd.,0,0,4,4
"NeuStar, Inc.",3,0,0,3
VECTANT Ltd.,0,0,3,3
Gigabit Hosting Sdn Bhd,2,0,1,3
NTT Com Asia Limited,1,0,2,3
Rackspace IT Hosting AS IT Hosting Provider Hong Kong,3,0,0,3
Huayun Data Holdings Limited,0,0,2,2
Pacnet Internet (Hong Kong) Limited,0,1,1,2
Website Solution Limited,1,0,1,2
"Room 603, Kin Wing Ind Bldg",0,2,0,2
HongKong Commercial Internet Exchange,2,0,0,2
AS Data(Hong Kong)Limited,2,0,0,2
HOSTSPACE NETWORKS LLC,0,2,0,2
Webfusion Internet Solutions,1,0,0,1
UAB DUOMENU CENTRAS,0,1,0,1
CNCGROUP IP network China169 Beijing Province Network,1,0,0,1
China Telecom (Group),1,0,0,1
Equinix Asia Pacific,0,0,1,1
POWERNETIX,1,0,0,1
"Global Gateway, Tsuen Wan, New Territories, Hong Kong",0,0,1,1
Psychz Networks,0,0,1,1
Dimension Network & Communication Limited,0,0,1,1
Incapsula Inc,0,1,0,1
Unified Layer,1,0,0,1
Telstra Global,0,1,0,1
KDD HONG KONG LIMITED,0,0,1,1
"QuadraNet, Inc",0,0,1,1
Infitack Technologies Limited,0,1,0,1
Net Access Corporation,1,0,0,1
CyrusOne LLC,1,0,0,1
KDDI CORPORATION,1,0,0,1
NETWORK BOX CORPORATION LTD,1,0,0,1
